Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Arias, A.Y.Z.","56156319300","Colonization, farming, and rains. Notes for a local history of Rivas, Costa Rica, 1950-2000 | Colonización, agricultura y lluvias. Apuntes para una historia local de Rivas, Costa Rica, 1950-2000",2013,"HiSTOReLo",5,"10",,236,268,,,10.15446/historelo.v5n10.39742,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84900349076&partnerID=40&md5=21b7534b37251dc53191757ea4e398da",Review,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84900349076
"Cove, M.V., Spínola, R.M.","55360436500; 24069349600","Pairing noninvasive surveys with capture-recapture analysis to estimate demographic parameters for Dendrobates auratus (Anura: Dendrobatidae) from an altered habitat in Costa Rica",2013,"Phyllomedusa",12,"2",,107,115,,3,10.11606/issn.2316-9079.v12i2p107-115,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84892142190&partnerID=40&md5=7a4f05221a2eb4633c0167896ad5e67b",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-84892142190
"Cove, M.V., Spínola, R.M., Jackson, V.L., Sáenz, J.C., Chassot, O.","55360436500; 24069349600; 55185510900; 7006174533; 36006313400","Integrating occupancy modeling and camera-trap data to estimate medium and large mammal detection and richness in a Central American biological corridor",2013,"Tropical Conservation Science",6,"6",,781,795,,32,10.1177/194008291300600606,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84890520175&partnerID=40&md5=8b8248553bb7fea133f0c78e86b6f440",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84890520175
"Yue, H., Lay, T., Schwartz, S.Y., Rivera, L., Protti, M., Dixon, T.H., Owen, S., Newman, A.V.","52464826700; 7005725336; 55279711500; 7004546003; 7006160987; 7101998527; 7101807965; 7201587517","The 5 September 2012 Nicoya, Costa Rica Mw 7.6 earthquake rupture process from joint inversion of high-rate GPS, strong-motion, and teleseismic P wave data and its relationship to adjacent plate boundary interface properties",2013,"Journal of Geophysical Research: Solid Earth",118,"10",,5453,5466,,70,10.1002/jgrb.50379,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84889057489&partnerID=40&md5=e0ae9b57c7a33e9a6a05567e91ba4a69",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84889057489
"Monsalve, H., Pacheco, J.F., Vargas, C.A., Morales, Y.A.","6508378545; 35838606400; 55651861300; 55895144500","Crustal velocity structure beneath the western Andes of Colombian using receiver-function inversion",2013,"Journal of South American Earth Sciences",48,"",,106,122,,8,10.1016/j.jsames.2013.09.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884924774&partnerID=40&md5=93c5def6209228a6b88d21496c211643",Article,Final,"",Scopus,2-s2.0-84884924774
"Walshe-Roussel, B., Choueiri, C., Saleem, A., Asim, M., Caal, F., Cal, V., Rojas, M.O., Pesek, T., Durst, T., Arnason, J.T.","35742026600; 25959967800; 16069399500; 57225688953; 57213943006; 11541143700; 35726000600; 14060912700; 7005593943; 10239421300","Potent anti-inflammatory activity of sesquiterpene lactones from Neurolaena lobata (L.) R. Br. ex Cass., a Q'eqchi' Maya traditional medicine",2013,"Phytochemistry",92,"",,122,127,,21,10.1016/j.phytochem.2013.05.004,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884907507&partnerID=40&md5=086a2d801199c4c9eaff259d02c12aa1",Article,Final,"",Scopus,2-s2.0-84884907507
"Alfaro-Montoya, J.","7007070673","Histological description of oogenesis and spermatogenesis in the cultured shrimp, Litopenaeus vannamei | Descripción histológica de la oogénesis y espermatogénesis del camarón de cultivo, Litopenaeus vannamei",2013,"Revista de Biologia Marina y Oceanografia",48,"2",,335,345,,11,10.4067/s0718-19572013000200012,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884387798&partnerID=40&md5=c403602ba1d1bfc72f90459783d5ab38",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84884387798
"Herrera Murillo, J., Rodriguez Roman, S., Rojas Marin, J.F., Campos Ramos, A., Blanco Jimenez, S., Cardenas Gonzalez, B., Gibson Baumgardner, D.","36129447700; 36129781300; 36612344900; 56013733000; 22957247600; 55993708900; 55831425900","Chemical characterization and source apportionment of PM10 and PM2.5 in the metropolitan area of Costa Rica, Central America",2013,"Atmospheric Pollution Research",4,"2",,181,190,,29,10.5094/APR.2013.018,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84882802468&partnerID=40&md5=f20c2fa8a91b82f3e538c3c57a4c5dbd",Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-84882802468
"Herrera Murillo, J., Rojas Marin, J.F., Rodriguez Roman, S., Beita Guerrero, V.H., Solorzano Arias, D., Campos Ramos, A., Cardenas Gonzalez, B., Gibson Baumgardner, D.","36129447700; 36612344900; 36129781300; 55831422800; 55832667300; 56013733000; 55993708900; 55831425900","Temporal and spatial variations in organic and elemental carbon concentrations in PM10/PM2.5 in the metropolitan area of Costa Rica, Central America",2013,"Atmospheric Pollution Research",4,"1",,53,63,,20,10.5094/APR.2013.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84882737407&partnerID=40&md5=a186e0261d16f3148b036debf9057a15",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-84882737407
"Luzio, J.D.","48361273500","Francisco Solano Astaburuaga: Chilean, writer and diplomat trough Central America in 1856 | Francisco Solano Astaburuaga: Chileno, escritor y diplomático por la América Central de 1856",2013,"Anales de Literatura Chilena",14,"19",,75,87,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84882271372&partnerID=40&md5=81d0e207a2b848d2b98247fd12ec7121",Article,Final,"",Scopus,2-s2.0-84882271372
"Coggon, D., Ntani, G., Palmer, K.T., Felli, V.E., Harari, R., Barrero, L.H., Felknor, S.A., Gimeno, D., Cattrell, A., Vargas-Prada, S., Bonzini, M., Solidaki, E., Merisalu, E., Habib, R.R., Sadeghian, F., Masood Kadir, M., Warnakulasuriya, S.S.P., Matsudaira, K., Nyantumbu, B., Sim, M.R., Harcombe, H., Cox, K., Marziale, M.H., Sarquis, L.M., Harari, F., Freire, R., Harari, N., Monroy, M.V., Quintana, L.A., Rojas, M., Salazar Vega, E.J., Harris, E.C., Serra, C., Martinez, J.M., Delclos, G., Benavides, F.G., Carugno, M., Ferrario, M.M., Pesatori, A.C., Chatzi, L., Bitsios, P., Kogevinas, M., Oha, K., Sirk, T., Sadeghian, A., Peiris-John, R.J., Sathiakumar, N., Wickremasinghe, A.R., Yoshimura, N., Kelsall, H.L., Hoe, V.C.W., Urquhart, D.M., Derrett, S., McBride, D., Herbison, P., Gray, A.","7102243403; 37120891500; 7202292837; 6602407629; 55833419100; 57208560675; 6602739674; 6603820470; 54392438000; 24282264500; 6507266327; 25926061000; 23012922400; 12795442800; 55538549800; 55735734300; 55255270400; 8619106500; 6504560581; 7101658396; 35102026800; 57197104800; 7003768451; 6507330713; 6503883186; 7004855528; 55308714100; 55190119400; 7003530422; 36752694400; 55308093700; 56654753100; 7102418022; 7404312751; 6701411967; 7007034590; 26423464000; 57217784032; 7003638542; 9733090600; 6603306350; 7005967420; 55307446000; 55308880000; 55372906400; 8556257900; 6701863705; 6701720911; 57203055340; 6603231802; 23388864200; 11940346600; 57221993252; 7102290721; 7005087780; 34770215200","Patterns of multisite pain and associations with risk factors",2013,"Pain",154,"9",,1769,1777,,108,10.1016/j.pain.2013.05.039,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84881661005&partnerID=40&md5=000d9431518e808a5e3b3b95610d7bf0",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84881661005
"Coggon, D., Ntani, G., Palmer, K.T., Felli, V.E., Harari, R., Barrero, L.H., Felknor, S.A., Gimeno, D., Cattrell, A., Serra, C., Bonzini, M., Solidaki, E., Merisalu, E., Habib, R.R., Sadeghian, F., Masood Kadir, M., Warnakulasuriya, S.S.P., Matsudaira, K., Nyantumbu, B., Sim, M.R., Harcombe, H., Cox, K., Marziale, M.H., Sarquis, L.M., Harari, F., Freire, R., Harari, N., Monroy, M.V., Quintana, L.A., Rojas, M., Salazar Vega, E.J., Harris, E.C., Vargas-Prada, S., Martinez, J.M., Delclos, G., Benavides, F.G., Carugno, M., Ferrario, M.M., Pesatori, A.C., Chatzi, L., Bitsios, P., Kogevinas, M., Oha, K., Sirk, T., Sadeghian, A., Peiris-John, R.J., Sathiakumar, N., Wickremasinghe, A.R., Yoshimura, N., Kelsall, H.L., Hoe, V.C.W., Urquhart, D.M., Derrett, S., McBride, D., Herbison, P., Gray, A.","7102243403; 37120891500; 7202292837; 6602407629; 55833419100; 57208560675; 6602739674; 6603820470; 54392438000; 7102418022; 6507266327; 25926061000; 23012922400; 12795442800; 55538549800; 55735734300; 55255270400; 8619106500; 6504560581; 7101658396; 35102026800; 57197104800; 7003768451; 6507330713; 6503883186; 7004855528; 55308714100; 55190119400; 7003530422; 36752694400; 55308093700; 56654753100; 24282264500; 7404312751; 6701411967; 7007034590; 26423464000; 57217784032; 7003638542; 9733090600; 6603306350; 7005967420; 55307446000; 55308880000; 55372906400; 8556257900; 6701863705; 6701720911; 57203055340; 6603231802; 23388864200; 11940346600; 57221993252; 7102290721; 7005087780; 34770215200","Disabling musculoskeletal pain in working populations: Is it the job, the person, or the culture?",2013,"Pain",154,"6",,856,863,,123,10.1016/j.pain.2013.02.008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84877986833&partnerID=40&md5=ad8a8a23eaa078f72667496a7815d174",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84877986833
"Reichle, C., Aguilar, I., Ayasse, M., Twele, R., Francke, W., Jarau, S.","8587768200; 8930554900; 6602073801; 16235261500; 7006506442; 6603431611","Learnt information in species-specific 'trail pheromone' communication in stingless bees",2013,"Animal Behaviour",85,"1",,225,232,,14,10.1016/j.anbehav.2012.10.029,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84872285295&partnerID=40&md5=d0064e0d7d1a095dbfc87d41f73b66e7",Article,Final,"",Scopus,2-s2.0-84872285295
"Steenland, K., Wesseling, C., Román, N., Quirós, I., Juncos, J.L.","7005395795; 7004008573; 55392332800; 55391178500; 7004442544","Occupational pesticide exposure and screening tests for neurodegenerative disease among an elderly population in Costa Rica",2013,"Environmental Research",120,"",,96,101,,21,10.1016/j.envres.2012.08.014,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84871702009&partnerID=40&md5=01d37802e56bd0616e36e184d2561ce7",Article,Final,"",Scopus,2-s2.0-84871702009
"Cascante-Marín, A., Nivia-Ruíz, A.","15724583700; 55498716700","Neotropical flowering epiphyte diversity: Local composition and geographic affinities",2013,"Biodiversity and Conservation",22,"1",,113,125,,11,10.1007/s10531-012-0404-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84871503756&partnerID=40&md5=e215ea5403fb9156e4410b9f691ccee3",Article,Final,"",Scopus,2-s2.0-84871503756
"Degen, B., Ward, S.E., Lemes, M.R., Navarro, C., Cavers, S., Sebbenn, A.M.","7003875414; 23029183200; 6603069662; 7102466879; 8911671100; 6602116520","Verifying the geographic origin of mahogany (Swietenia macrophylla King) with DNA-fingerprints",2013,"Forensic Science International: Genetics",7,"1",,55,62,,56,10.1016/j.fsigen.2012.06.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84869498864&partnerID=40&md5=6642a8858ebcb82a74a774fd0e1a1837",Article,Final,"",Scopus,2-s2.0-84869498864
"Hernández, W., Xavier, A., de Paiva, H.N., Wendling, I.","55535996600; 7102041898; 6602957227; 17136678800","Vegetative propagation of pau-jacaré (Piptadenia gonoacantha (mart.) Macbr.) for cutting | Propagação Vegetativa do Pau-Jacaré (Piptadenia gonoacantha (Mart.) Macbr.) Por Estaquia",2012,"Revista Arvore",36,"5",,813,823,,8,10.1590/S0100-67622012000500003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84871530110&partnerID=40&md5=703936c12bd262269958d648d106d3aa",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84871530110
"Oliveira, I.d.S., Franke, F.A., Hering, L., Schaffer, S., Rowell, D.M., Weck-Heimann, A., Monge-Nájera, J., Morera-Brenes, B., Mayer, G.","9337699400; 50761036700; 55428239600; 55532655700; 7006263320; 6506917571; 6603820092; 55532745500; 18234213400","Unexplored Character Diversity in Onychophora (Velvet Worms): A Comparative Study of Three Peripatid Species",2012,"PLoS ONE",7,"12", e51220,,,,47,10.1371/journal.pone.0051220,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84871289117&partnerID=40&md5=44b15ef263f2144c3c23f113d3b243a8",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84871289117
"Córdoba-Alfaro, J., Murillo-Hiller, L.R.","56857562700; 13405752700","The first record of the butterfly Memphis d. dia (Lepidoptera: Nymphalidae, Charaxinae) in Costa Rica",2012,"Revista Peruana de Biologia",19,"3",,327,328,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85044844973&partnerID=40&md5=09482fbad933679437d8c0e840a49cd9",Article,Final,"",Scopus,2-s2.0-85044844973
"Pichardo-Muñiz, A., Chavarría, M.O.","36626445300; 56072966700","Diseconomies in the transportation market",2012,"Externality: Economics, Management and Outcomes",,"",,111,146,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84896432219&partnerID=40&md5=5b3a7745189ce9323c3f44d9cf838cd2",Book Chapter,Final,"",Scopus,2-s2.0-84896432219
"Hilje, B., Arévalo-Huezo, E.","8626469400; 55941536900","Aestivation in the Cane Toad Rhinella marina Linnaeus, 1758 (Anura, Bufonidae) during the peak of a dry season in a tropical dry forest, Costa Rica",2012,"Herpetology Notes",5,"",,533,534,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84876322199&partnerID=40&md5=7238e4170743194fdf5e35100093eb61",Article,Final,"",Scopus,2-s2.0-84876322199
"Acosta-Chaves, V., Granados-Rodríguez, F., Araya-Huertas, D.","55625269000; 55625571600; 56523313400","Predation of Long-tailed Silky Flycatcher (Ptilogonys caudatus) by Ornate Hawk-eagle (Spizaetus ornatus) in a cloud forest of Costa Rica",2012,"Revista Brasileira de Ornitologia",20,"4",,451,452,,6,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84875085362&partnerID=40&md5=98b32bf48045827f448c618bf6801f32",Article,Final,"",Scopus,2-s2.0-84875085362
"Abbasy, M.B.","36553917500","Influence of simulation and real implementation Skills on the cognitive learning aspects",2012,"3rd IEEE International Conference on Cognitive Infocommunications, CogInfoCom 2012 - Proceedings",,"", 6421946,719,724,,1,10.1109/CogInfoCom.2012.6421946,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84874447641&partnerID=40&md5=3d68b7ed9a8bcc51a73a09805194eb04",Conference Paper,Final,"",Scopus,2-s2.0-84874447641
"Quesada R., A.","55606342600","Factors and expectations involved in the election of information systems study plan from the Universidad Nacional: A gender approach",2012,"38th Latin America Conference on Informatics, CLEI 2012 - Conference Proceedings",,"", 6427242,,,,1,10.1109/CLEI.2012.6427242,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84874340336&partnerID=40&md5=75bb681583f2a8f0963135da32bfb3f8",Conference Paper,Final,"",Scopus,2-s2.0-84874340336
"Mata, F.J., Quesada, A., Raventós, G.M.","57191071366; 55387808100; 55606383900","Gender gap in computer science programs from Costa Rican Public universities: Are Women Really Becoming Extinct?",2012,"38th Latin America Conference on Informatics, CLEI 2012 - Conference Proceedings",,"", 6427245,,,,1,10.1109/CLEI.2012.6427245,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84874337708&partnerID=40&md5=2f1b3f30ef124dcb62f2f9870d72b878",Conference Paper,Final,"",Scopus,2-s2.0-84874337708
"Coto, M., Mora, S., Lykke, M.","55606229500; 55605825200; 7402929320","Design considerations for introducing PBL in computer engineering",2012,"38th Latin America Conference on Informatics, CLEI 2012 - Conference Proceedings",,"", 6427136,,,,4,10.1109/CLEI.2012.6427136,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84874337296&partnerID=40&md5=69636f9d64dc47732a16313385a0ea94",Conference Paper,Final,"All Open Access, Green",Scopus,2-s2.0-84874337296
"Mata, F.J., Quesada, A., Ruiz, K., Orozco, J.","57191071366; 55387808100; 36562734000; 55825066300","The relationship between information and communication technology and productivy in Costa Rican companies",2012,"38th Latin America Conference on Informatics, CLEI 2012 - Conference Proceedings",,"", 6427216,,,,,10.1109/CLEI.2012.6427216,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84874317555&partnerID=40&md5=0f411afa066d7c12d3f6b7b3b723310c",Conference Paper,Final,"",Scopus,2-s2.0-84874317555
"Mora Rivera, S., Álzate, S.C.","55605941300; 55606474800","ICT professional's training programs certification. Synonymous of professional quality, continuous improvement and development",2012,"38th Latin America Conference on Informatics, CLEI 2012 - Conference Proceedings",,"", 6427133,,,,,10.1109/CLEI.2012.6427133,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84874287319&partnerID=40&md5=114850f8d85b91b9ee573b4dfe4dd959",Conference Paper,Final,"",Scopus,2-s2.0-84874287319
"Navarro, M.V., Vega-Baudrit, J.R., Sibaja, M.R., Melero, F.J.","55605097300; 8611304200; 35312119800; 55605151700","Use of rice husk as filler in flexible polyurethane foams",2012,"Macromolecular Symposia",321-322,"1",,202,207,,2,10.1002/masy.201251136,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84874261898&partnerID=40&md5=897b304280c4496a4fe3649e411ae2ce",Conference Paper,Final,"",Scopus,2-s2.0-84874261898
"Hernández-Ávila, I., Tagliafico, A., Rago, N., Marcano, J.","56150666200; 25926687100; 55599421300; 55933601300","Composition of decapod crustacean assemblages in beds of Pinctada imbricata and Arca zebra (Mollusca: Bivalvia) in Cubagua Island, Venezuela: Effect of bed density | Composición de ensambles de crustáceos decápodos en bancos de Pinctadaimbricata y arcazebra (Mollusca: Bivalvia) en la Isla de Cubagua, Venezuela: Efecto de la densidad del banco",2012,"Scientia Marina",76,"4",,705,712,,4,10.3989/scimar.03401.28A,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84871630064&partnerID=40&md5=74a705e19e71106977762b379490437f",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84871630064
"Pérez-Molina, J.P., Solórzano, R.A.C.","55505694200; 7006566470","Recovery of three tropical forest covers from mid-elevation sites in Costa Rica: Oligochaetes, litter and soil analysis | Recuperación de tres coberturas forestales de altura media en Costa Rica: Análisis de los oligoquetos, el mantillo y suelo",2012,"Revista de Biologia Tropical",60,"4",,1431,1443,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84870266876&partnerID=40&md5=a1df53a1fa07c46432f4e74836720c38",Article,Final,"",Scopus,2-s2.0-84870266876
"Echeverría-Sáenz, S., Mena, F., Pinnock, M., Ruepert, C., Solano, K., de la Cruz, E., Campos, B., Sánchez-Avila, J., Lacorte, S., Barata, C.","24474002100; 55368985600; 14040372200; 6603401592; 55368538500; 7003383659; 56274434000; 26429862500; 7007012191; 7003896241","Environmental hazards of pesticides from pineapple crop production in the Río Jiménez watershed (Caribbean Coast, Costa Rica)",2012,"Science of the Total Environment",440,"",,106,114,,49,10.1016/j.scitotenv.2012.07.092,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84869097144&partnerID=40&md5=6e67974f71075085b35e0c2448c1e9e7",Article,Final,"",Scopus,2-s2.0-84869097144
"Rodríguez Yá̃ez, J.E.","55490439400","Characteristics of the spontaneous deposition of Sn in polycrystalline Pt",2012,"Portugaliae Electrochimica Acta",30,"2",,111,120,,,10.4152/pea.201202111,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84869438665&partnerID=40&md5=01b9611c7ee629fcc580e22b55ce38eb",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-84869438665
"Moreno-Díaz, M.L.","56856736600","Socio-economic activities at Isla del coco national park, Costa Rica and possible effects of climate variability | Actividades socioeconómicas en el Parque Nacional Isla del Coco, Costa Rica y posibles efectos de la variabilidad climática",2012,"Revista de Biologia Tropical",60,"",,113,129,,6,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84941887173&partnerID=40&md5=83e08e736ac3729532ff232fa75634a0",Article,Final,"",Scopus,2-s2.0-84941887173
"Zanella, I., López-Garro, A., Golfín-Duarte, G., Saenz, J.C.","56856645800; 56856828900; 56856797700; 7006174533","Abundance, size and population structure of whitetip reef sharks, Triaenodon obesus (Carcharhiniformes: Carcharhinidae), in Bahía Chatham, Parque Nacional Isla del Coco, Costa Rica | Abundancia, tamaño y estructura poblacional del tiburón punta blanca de arrecife, Triaenodon obesus (Carcharhiniformes: Carcharhinidae), en Bahía Chatham, Parque Nacional Isla del Coco, Costa Rica",2012,"Revista de Biologia Tropical",60,"",,339,346,,12,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84941885849&partnerID=40&md5=f1f5677e4f6a4c203b8e3f145ab3a016",Article,Final,"",Scopus,2-s2.0-84941885849
"Protti, M., González, V., Freymueller, J., Doelger, S.","7006160987; 35451298400; 7004061281; 56856817900","Isla del coco, on cocos plate, converges with Isla de San Andrés, on the Caribbean plate, at 78mm/yr",2012,"Revista de Biologia Tropical",60,"",,33,41,,15,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84877936487&partnerID=40&md5=c031cdc03cbeb8146105e7924bc2abf3",Article,Final,"",Scopus,2-s2.0-84877936487
"Martirosyan, A., Pérez-Gutierrez, C., Banchereau, R., Dutartre, H., Lecine, P., Dullaers, M., Mello, M., Pinto Salcedo, S., Muller, A., Leserman, L., Levy, Y., Zurawski, G., Zurawski, S., Moreno, E., Moriyón, I., Klechevsky, E., Banchereau, J., Oh, S.K., Gorvel, J.-P.","7003381218; 16031986300; 26326738900; 57522430700; 6602553427; 6507572609; 35262681300; 55516863900; 57188679184; 7004580168; 36862529000; 7005026586; 7004419466; 7202827718; 7004333011; 8597595600; 7103212992; 7404103311; 7005675644","Brucella β 1,2 Cyclic Glucan Is an Activator of Human and Mouse Dendritic Cells",2012,"PLoS Pathogens",8,"11", e1002983,,,,27,10.1371/journal.ppat.1002983,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84870795497&partnerID=40&md5=fbbe7281f304581ade913571ac3ed4a4",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84870795497
"Gottdenker, N.L., Chaves, L.F., Calzada, J.E., Saldaña, A., Carroll, C.R.","6506686924; 57367814400; 9436835700; 6603680237; 55422114300","Host Life History Strategy, Species Diversity, and Habitat Influence Trypanosoma cruzi Vector Infection in Changing Landscapes",2012,"PLoS Neglected Tropical Diseases",6,"11", e1884,,,,84,10.1371/journal.pntd.0001884,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84870729377&partnerID=40&md5=41fe0f57cf7b481555a0fe9d267d6c9b",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-84870729377
"Nguyen, A.T., Williams-Newkirk, A.J., Kitron, U.D., Chaves, L.F.","35590577700; 55240232100; 7003784237; 57367814400","Seasonal weather, nutrients, and conspecific presence impacts on the southern house mosquito oviposition dynamics in combined sewage overflows",2012,"Journal of Medical Entomology",49,"6",,1328,1338,,31,10.1603/ME12090,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84869778259&partnerID=40&md5=cc6cb49d947fd574176fb41186145b86",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-84869778259
"Natal-da-Luz, T., Moreira-Santos, M., Ruepert, C., Castillo, L.E., Ribeiro, R., Sousa, J.P.","17135749900; 9838880400; 6603401592; 7102150400; 7202534687; 55663757300","Ecotoxicological characterization of a tropical soil after diazinon spraying",2012,"Ecotoxicology",21,"8",,2163,2176,,10,10.1007/s10646-012-0970-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84868131414&partnerID=40&md5=327157470eb3caffb2cb6f0903e00fb9",Article,Final,"",Scopus,2-s2.0-84868131414
"John, L., Aguilar, I., Ayasse, M., Jarau, S.","46761237000; 8930554900; 6602073801; 6603431611","Nest-specific composition of the trail pheromone of the stingless bee Trigona corvina within populations",2012,"Insectes Sociaux",59,"4",,527,532,,6,10.1007/s00040-012-0247-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84867579694&partnerID=40&md5=a6eb7ba36c6bfaef152b25d4e0e93213",Article,Final,"",Scopus,2-s2.0-84867579694
"Calderón, R.A., Chaves, G., Sánchez, L.A., Calderón, R.","7007086348; 55243162000; 36007716400; 55122471500","Observation of Varroa destructor behavior in capped worker brood of Africanized honey bees",2012,"Experimental and Applied Acarology",58,"3",,279,290,,4,10.1007/s10493-012-9579-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84866480230&partnerID=40&md5=11c303796595ed2f3e5b47a8bf1d419e",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84866480230
"Loaiza, E.M.J., Vargas, R.H.M., Zúñiga, C.E.A., Pequeno, A.P.","57224539498; 57192111833; 55419618400; 55421442500","Relationship between the functional state of the ovaries of sows and the culling cause in two herds of costa rica | Relación del estado fisiológico de ovarios de cerdas con la causa del descarte en dos granjas de costa rica",2012,"Revista Cientifica de la Facultad de Ciencias Veterinarias de la Universidad del Zulia",22,"4",,341,347,,5,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84867721370&partnerID=40&md5=764019ca764d7e4aa7123e862d3caea0",Article,Final,"",Scopus,2-s2.0-84867721370
"Mata, F.J., Quesada, A.","57191071366; 55387808100","E-marketing in Costa Rican export companies: Results from a field survey",2012,"International Conference on Information Society, i-Society 2012",,"", 6285068,156,163,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84867385963&partnerID=40&md5=93ae036da5338c54732f09b9ee6e63c7",Conference Paper,Final,"",Scopus,2-s2.0-84867385963
"Zuriaga, M.Á., Blandón-Naranjo, M., Valerio-Campos, I., Salas, R., Zeledón, R., Bargues, M.D.","56063278200; 35304763700; 14044349600; 54419165100; 7006195820; 7003325417","Molecular characterization of Trypanosoma cruzi and infection rate of the vector Triatoma dimidiate in Costa Rica",2012,"Parasitology Research",111,"4",,1615,1620,,12,10.1007/s00436-012-3000-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84868197861&partnerID=40&md5=afd66c21e526be8616ead9e505a447a9",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84868197861
"Singh, S.K., Pacheco, J.F., Ordaz, M., Dattatrayam, R.S., Suresh, G., Baidya, P.R.","57202910559; 35838606400; 7004465619; 6505873296; 57055243200; 8686578200","Estimating tsunami potential of earthquakes in the Sumatra-Andaman region based on broadband seismograms in India",2012,"Natural Hazards",64,"2",,1491,1510,,3,10.1007/s11069-012-0311-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84867231249&partnerID=40&md5=5ba16ebf2d57203d2f994980b9004fd7",Article,Final,"",Scopus,2-s2.0-84867231249
"Ramírez, M., Prendas, J.P., Travieso, C.M., Calderón, R., Salas, O.","55366709900; 55367043000; 6602376272; 7007086348; 57197107855","Detection of the mite Varroa destructor in honey bee cells by video sequence processing",2012,"INES 2012 - IEEE 16th International Conference on Intelligent Engineering Systems, Proceedings",,"", 6249811,103,108,,6,10.1109/INES.2012.6249811,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84866637166&partnerID=40&md5=31e4650d4a866d7c009675d8d488f053",Conference Paper,Final,"",Scopus,2-s2.0-84866637166
